Rating,DISA [K],Altitude [ft],Mach,Thrust [N],Fuel Flow [kg/s],SFC [kg/s/N]
45,0,5000,0.9,56140.01253,1.034526366,1.84E-05
40,0,5000,0.9,47344.29222,0.900295312,1.90E-05
21,0,5000,0.9,-5130.539424,0.062762088,-1.22E-05
50,0,5000,1,62543.3824,1.209853409,1.93E-05
45,0,5000,1,53537.30649,1.058703935,1.98E-05
40,0,5000,1,44463.48874,0.914044144,2.06E-05
21,0,5000,1,-6078.922637,0.05992608,-9.86E-06
55,0,10000,0,103683.9644,0.954804883,9.21E-06
50,0,10000,0,99045.44315,0.8832665,8.92E-06
45,0,10000,0,92303.36498,0.779285653,8.44E-06
40,0,10000,0,84548.72717,0.703148936,8.32E-06
21,0,10000,0,5964.831741,0.0840938,1.41E-05
55,0,10000,0.1,97029.23727,0.983296233,1.01E-05
50,0,10000,0.1,92438.84821,0.910561297,9.85E-06
45,0,10000,0.1,85165.53277,0.795315263,9.34E-06
40,0,10000,0.1,77182.71244,0.712092727,9.23E-06
21,0,10000,0.1,3932.58179,0.083477276,2.12E-05
55,0,10000,0.2,90374.51012,0.996209566,1.10E-05
50,0,10000,0.2,85283.18937,0.915645262,1.07E-05
45,0,10000,0.2,78302.23258,0.805179639,1.03E-05
40,0,10000,0.2,70462.02646,0.718748441,1.02E-05
21,0,10000,0.2,2510.006898,0.08224423,3.28E-05
55,0,10000,0.3,85422.23802,1.015581537,1.19E-05
50,0,10000,0.3,79532.27865,0.924903764,1.16E-05
45,0,10000,0.3,72476.44949,0.816277061,1.13E-05
40,0,10000,0.3,64636.24336,0.724894181,1.12E-05
21,0,10000,0.3,1369.094712,0.080024745,5.85E-05
55,0,10000,0.4,80469.96591,1.023406751,1.27E-05
50,0,10000,0.4,74843.84247,0.938428342,1.25E-05
45,0,10000,0.4,67328.08314,0.824908389,1.23E-05
40,0,10000,0.4,59876.50008,0.734820205,1.23E-05
21,0,10000,0.4,363.6657575,0.077558651,0.000213269
55,0,10000,0.5,75517.6938,1.022727186,1.35E-05
50,0,10000,0.5,70918.39121,0.955270419,1.35E-05
45,0,10000,0.5,63038.96612,0.839704953,1.33E-05
40,0,10000,0.5,55990.26779,0.748749609,1.34E-05
21,0,10000,0.5,-591.8482828,0.07410612,-0.000125211
50,0,10000,0.6,67524.17738,0.973638317,1.44E-05
45,0,10000,0.6,59659.01365,0.858200656,1.44E-05
40,0,10000,0.6,52706.57973,0.76412006,1.45E-05
21,0,10000,0.6,-1486.751315,0.070037065,-4.71E-05
50,0,10000,0.7,64500.75998,0.994571631,1.54E-05
45,0,10000,0.7,56942.21642,0.881628548,1.55E-05
40,0,10000,0.7,49875.69131,0.781393493,1.57E-05
21,0,10000,0.7,-2381.654347,0.06596801,-2.77E-05
50,0,10000,0.8,62258.15443,1.026082378,1.65E-05
45,0,10000,0.8,54453.60156,0.905056439,1.66E-05
40,0,10000,0.8,47533.25593,0.802394988,1.69E-05
21,0,10000,0.8,-3276.557378,0.061898955,-1.89E-05
50,0,10000,0.9,60133.20533,1.056711155,1.76E-05
45,0,10000,0.9,52474.83194,0.933416518,1.78E-05
40,0,10000,0.9,45354.82665,0.82377216,1.82E-05
21,0,10000,0.9,-4171.46041,0.057829901,-1.39E-05
50,0,10000,1,58293.48435,1.093876443,1.88E-05
45,0,10000,1,50460.40877,0.961776598,1.91E-05
40,0,10000,1,43051.60994,0.843169683,1.96E-05
21,0,10000,1,-5066.363442,0.053760846,-1.06E-05
50,0,15000,0,85333.10428,0.764870082,8.96E-06
45,0,15000,0,80954.85354,0.690506275,8.53E-06
40,0,15000,0,75792.22568,0.635879308,8.39E-06
