Altitude,Mach,CL,LOD ,CD Total,,
0,0.825,0.101569024,3.900746422,0.026038356,,
0,0.825,0.203138048,7.721372321,0.026308542,,
0,0.825,0.304707071,11.0849757,0.027488294,,
0,0.825,0.406276095,13.73043011,0.029589466,,
0,0.825,0.507845119,15.37283018,0.033035239,,
0,0.825,0.609414143,15.90627758,0.038312807,,
0,0.825,0.710983166,15.95737807,0.044555137,,
0,0.825,0.81255219,15.70109869,0.051751295,,
0,0.825,0.914121214,15.24331388,0.059968667,,
0,0.825,1.218828285,13.41421035,0.090860979,,
0,0.825,1.439390485,12.07759294,0.119178589,,
10000,0.2,0,0,0.024625674,,
10000,0.2,0.101569024,4.244613798,0.02392892,,
10000,0.2,0.203138048,8.408843088,0.024157669,,
10000,0.2,0.304707071,12.02671736,0.025335847,,
10000,0.2,0.406276095,14.77488504,0.02749775,,
10000,0.2,0.507845119,16.55053973,0.030684505,,
10000,0.2,0.609414143,17.43212864,0.03495925,,
10000,0.2,0.710983166,17.60358889,0.040388535,,
10000,0.2,0.81255219,17.27450171,0.047037663,,
10000,0.2,0.914121214,16.62932836,0.054970423,,
10000,0.2,1.218828285,13.99664264,0.087080046,,
10000,0.2,1.439390485,12.12044825,0.118757199,,
10000,0.3,0,0,0.023349797,,
10000,0.3,0.101569024,4.483463137,0.022654145,,
10000,0.3,0.203138048,8.878646737,0.022879393,,
10000,0.3,0.304707071,12.67098345,0.024047626,,
10000,0.3,0.406276095,15.51185963,0.026191321,,
10000,0.3,0.507845119,17.30415945,0.029348153,,
10000,0.3,0.609414143,18.14980962,0.033576889,,
10000,0.3,0.710983166,18.25813443,0.038940625,,
10000,0.3,0.81255219,17.85776829,0.045501329,,
10000,0.3,0.914121214,17.14418996,0.053319592,,
10000,0.3,1.218828285,14.3560674,0.084899872,,
10000,0.3,1.439390485,12.40958802,0.115990191,,
10000,0.4,0,0,0.023013326,,
10000,0.4,0.101569024,4.550713591,0.022319362,,
10000,0.4,0.203138048,9.012375743,0.0225399,,
10000,0.4,0.304707071,12.85982984,0.023694487,,
10000,0.4,0.406276095,15.73913962,0.025813107,,
10000,0.4,0.507845119,17.55485193,0.028929046,,
10000,0.4,0.609414143,18.4141768,0.033094835,,
10000,0.4,0.710983166,18.53024099,0.038368803,,
10000,0.4,0.81255219,18.1339636,0.044808306,,
10000,0.4,0.914121214,17.42195231,0.052469505,,
10000,0.4,1.218828285,14.62784525,0.083322476,,
10000,0.4,1.439390485,12.6701417,0.113604924,,
10000,0.5,0,0,0.022236605,,
10000,0.5,0.101569024,4.714252342,0.021545097,,
10000,0.5,0.203138048,9.335411831,0.021759945,,
10000,0.5,0.304707071,13.30743144,0.022897512,,
10000,0.5,0.406276095,16.26102677,0.024984652,,
10000,0.5,0.507845119,18.10514895,0.028049762,,
10000,0.5,0.609414143,18.96285495,0.032137257,,
10000,0.5,0.710983166,19.06151648,0.037299402,,
10000,0.5,0.81255219,18.64176347,0.043587732,,
10000,0.5,0.914121214,17.90540836,0.051052799,,
10000,0.5,1.218828285,15.04810659,0.080995458,,
10000,0.5,1.439390485,13.05403634,0.110264017,,
10000,0.6,0,0,0.021571662,,
10000,0.6,0.101569024,4.863514732,0.020883873,,
10000,0.6,0.203138048,9.630718466,0.02109272,,
10000,0.6,0.304707071,13.71886599,0.022210806,,
10000,0.6,0.406276095,16.74586468,0.024261279,,
