Alt (m),Mach number,Throttle,Power (W),SFC (gr/MJ),PCN HP,PCN LP,PCN PT,Inlet airflow (kg/s),Fuel flow (kg/s),eta,ISA dev C,P3 (bar),T3 (K),FAR,Residual thrust (N),,,Power (kW)
0,0,0.05,100040,318.22,0.73,0.4,1,3.09,0.03,0.07,-10,4.69,493.82,0.01,332.19,,,100.04
0,0,0.1,200060,208.71,0.8,0.52,1,3.89,0.04,0.11,-10,6.1,535.76,0.01,527.39,,,200.06
0,0,0.15,300090,164.87,0.82,0.61,1,4.49,0.05,0.14,-10,7.15,557.75,0.01,699.07,,,300.09
0,0,0.2,400110,141.44,0.84,0.68,1,4.98,0.06,0.16,-10,8.03,573.74,0.01,858.67,,,400.11
0,0,0.26,500140,127.34,0.86,0.72,1,5.37,0.06,0.18,-10,8.79,587.88,0.01,1009.51,,,500.14
0,0,0.31,600170,117.51,0.87,0.77,1,5.72,0.07,0.2,-10,9.49,599.75,0.01,1156.89,,,600.17
0,0,0.36,700130,110.26,0.88,0.8,1,6.03,0.08,0.21,-10,10.13,609.78,0.01,1300.89,,,700.13
0,0,0.41,800040,104.7,0.89,0.83,1,6.33,0.08,0.22,-10,10.74,618.77,0.01,1445.72,,,800.04
0,0,0.46,900020,100.27,0.9,0.85,1,6.61,0.09,0.23,-10,11.31,626.66,0.02,1588.36,,,900.02
0,0,0.51,1000000,96.71,0.92,0.87,1,6.87,0.1,0.24,-10,11.86,634.14,0.02,1732.32,,,1000
0,0,0.56,1100000,93.78,0.93,0.89,1,7.12,0.1,0.25,-10,12.4,641.06,0.02,1878.66,,,1100
0,0,0.61,1200000,91.31,0.94,0.91,1,7.37,0.11,0.25,-10,12.94,647.2,0.02,2027.59,,,1200
0,0,0.66,1300000,89.2,0.95,0.92,1,7.62,0.12,0.26,-10,13.46,652.94,0.02,2180.15,,,1300
0,0,0.71,1400000,87.5,0.96,0.94,1,7.86,0.12,0.27,-10,13.98,658.75,0.02,2336.72,,,1400
0,0,0.77,1500000,86.2,0.96,0.95,1,8.08,0.13,0.27,-10,14.5,664.89,0.02,2497.75,,,1500
0,0,0.82,1600000,85.12,0.97,0.97,1,8.31,0.14,0.27,-10,15.01,670.95,0.02,2662.26,,,1600
0,0,0.87,1700000,84.31,0.98,0.98,1,8.52,0.14,0.28,-10,15.51,677.45,0.02,2828.48,,,1700
0,0,0.92,1800000,83.64,0.99,0.99,1,8.73,0.15,0.28,-10,16.01,683.77,0.02,2998.73,,,1800
0,0,0.97,1900000,83.11,1,1,1,8.93,0.16,0.28,-10,16.51,689.98,0.02,3175.35,,,1900
0,0,1.02,2000000,82.69,1,1.01,1,9.14,0.17,0.28,-10,17.01,696.15,0.02,3355.99,,,2000
0,0.1,0.05,100040,316.93,0.73,0.4,1,3.1,0.03,0.07,-10,4.7,493.87,0.01,229.05,,,100.04
0,0.1,0.1,200060,208.21,0.8,0.52,1,3.9,0.04,0.11,-10,6.1,535.95,0.01,397.85,,,200.06
0,0.1,0.15,300040,164.53,0.82,0.61,1,4.5,0.05,0.14,-10,7.15,557.96,0.01,549.03,,,300.04
0,0.1,0.2,400050,141.18,0.84,0.67,1,4.98,0.06,0.16,-10,8.04,573.94,0.01,693.23,,,400.05
0,0.1,0.25,500020,127.1,0.86,0.72,1,5.37,0.06,0.18,-10,8.79,588.02,0.01,830.46,,,500.02
0,0.1,0.3,600010,117.3,0.87,0.77,1,5.72,0.07,0.2,-10,9.49,599.9,0.01,966.01,,,600.01
0,0.1,0.36,700010,110.06,0.88,0.8,1,6.04,0.08,0.21,-10,10.13,609.95,0.01,1099.52,,,700.01
0,0.1,0.41,800000,104.51,0.89,0.83,1,6.34,0.08,0.22,-10,10.74,618.95,0.01,1234.44,,,800
0,0.1,0.46,900000,100.08,0.9,0.85,1,6.61,0.09,0.23,-10,11.31,626.81,0.02,1367.84,,,900
0,0.1,0.51,1000000,96.54,0.91,0.87,1,6.87,0.1,0.24,-10,11.87,634.3,0.02,1503.25,,,1000
0,0.1,0.56,1100000,93.63,0.93,0.89,1,7.13,0.1,0.25,-10,12.41,641.24,0.02,1641.12,,,1100
0,0.1,0.61,1200000,91.17,0.94,0.9,1,7.37,0.11,0.25,-10,12.94,647.44,0.02,1781.69,,,1200
0,0.1,0.66,1300000,89.08,0.95,0.92,1,7.62,0.12,0.26,-10,13.47,653.2,0.02,1926.04,,,1300
0,0.1,0.71,1400000,87.35,0.96,0.93,1,7.86,0.12,0.27,-10,13.99,658.87,0.02,2074.97,,,1400
0,0.1,0.76,1500000,86.06,0.96,0.95,1,8.09,0.13,0.27,-10,14.51,665.03,0.02,2228.39,,,1500
0,0.1,0.81,1600000,84.96,0.97,0.96,1,8.32,0.14,0.27,-10,15.02,670.94,0.02,2385.89,,,1600
0,0.1,0.86,1700000,84.16,0.98,0.98,1,8.53,0.14,0.28,-10,15.52,677.44,0.02,2545.2,,,1700
0,0.1,0.91,1800000,83.49,0.99,0.99,1,8.74,0.15,0.28,-10,16.02,683.76,0.02,2708.63,,,1800
0,0.1,0.96,1900000,82.96,0.99,1,1,8.94,0.16,0.28,-10,16.52,689.97,0.02,2878.35,,,1900
0,0.1,1.02,2000000,82.55,1,1.01,1,9.15,0.17,0.28,-10,17.02,696.12,0.02,3052.34,,,2000
0,0.2,0.05,100040,313.08,0.73,0.4,1,3.11,0.03,0.07,-10,4.71,494,0.01,125.41,,,100.04
0,0.2,0.1,200020,206.29,0.79,0.52,1,3.91,0.04,0.11,-10,6.11,536.24,0.01,267.25,,,200.02
0,0.2,0.15,300020,163.39,0.82,0.6,1,4.51,0.05,0.14,-10,7.16,558.56,0.01,398.9,,,300.02
0,0.2,0.2,400010,140.12,0.84,0.67,1,5,0.06,0.17,-10,8.04,574.31,0.01,526.42,,,400.01
0,0.2,0.25,500000,126.21,0.85,0.71,1,5.39,0.06,0.18,-10,8.81,588.35,0.01,651.2,,,500
0,0.2,0.3,600000,116.56,0.87,0.76,1,5.74,0.07,0.2,-10,9.5,600.35,0.01,775.22,,,600
0,0.2,0.35,700000,109.39,0.88,0.79,1,6.06,0.08,0.21,-10,10.14,610.44,0.01,898.26,,,700
0,0.2,0.4,800000,103.9,0.89,0.82,1,6.35,0.08,0.22,-10,10.75,619.45,0.01,1023.38,,,800
0,0.2,0.45,900000,99.54,0.9,0.84,1,6.63,0.09,0.23,-10,11.32,627.37,0.02,1147.71,,,900
0,0.2,0.5,1000000,96.02,0.91,0.86,1,6.89,0.1,0.24,-10,11.88,634.78,0.02,1274.49,,,1000
0,0.2,0.55,1100000,93.15,0.92,0.88,1,7.14,0.1,0.25,-10,12.42,641.76,0.02,1403.95,,,1100
0,0.2,0.6,1200000,90.75,0.93,0.9,1,7.39,0.11,0.26,-10,12.95,648.14,0.02,1536.21,,,1200
0,0.2,0.65,1300000,88.69,0.94,0.91,1,7.63,0.12,0.26,-10,13.48,653.95,0.02,1672.4,,,1300
0,0.2,0.7,1400000,86.95,0.95,0.93,1,7.88,0.12,0.27,-10,14,659.48,0.02,1813.52,,,1400
0,0.2,0.75,1500000,85.64,0.96,0.94,1,8.11,0.13,0.27,-10,14.52,665.41,0.02,1959.91,,,1500
0,0.2,0.8,1600000,84.55,0.97,0.96,1,8.34,0.14,0.27,-10,15.04,671.34,0.02,2109.93,,,1600
0,0.2,0.85,1700000,83.69,0.98,0.97,1,8.56,0.14,0.28,-10,15.54,677.4,0.02,2263.55,,,1700
0,0.2,0.9,1800000,83.04,0.98,0.98,1,8.77,0.15,0.28,-10,16.04,683.72,0.02,2420.28,,,1800
0,0.2,0.95,1900000,82.53,0.99,1,1,8.97,0.16,0.28,-10,16.54,689.94,0.02,2583.39,,,1900
0,0.2,1,2000000,82.12,1,1.01,1,9.18,0.16,0.28,-10,17.05,696.02,0.02,2750.95,,,2000
0,0.3,0.05,100040,306.63,0.73,0.39,1,3.15,0.03,0.08,-10,4.73,494.22,0.01,19.98,,,100.04
0,0.3,0.1,200020,203.16,0.79,0.51,1,3.94,0.04,0.11,-10,6.13,536.77,0.01,135.74,,,200.02
0,0.3,0.15,300020,161.49,0.82,0.59,1,4.53,0.05,0.14,-10,7.17,559.58,0.01,247.79,,,300.02
0,0.3,0.2,400010,138.53,0.83,0.65,1,5.02,0.06,0.17,-10,8.06,575.17,0.01,359.21,,,400.01
0,0.3,0.24,500000,124.73,0.85,0.7,1,5.42,0.06,0.19,-10,8.82,588.93,0.01,471,,,500
0,0.3,0.29,600000,115.31,0.87,0.75,1,5.77,0.07,0.2,-10,9.52,601.06,0.01,583.94,,,600
0,0.3,0.34,700000,108.26,0.88,0.78,1,6.08,0.08,0.21,-10,10.16,611.22,0.01,696.08,,,700
0,0.3,0.39,800000,102.9,0.89,0.81,1,6.38,0.08,0.23,-10,10.77,620.31,0.01,811.37,,,800
0,0.3,0.44,900000,98.62,0.9,0.83,1,6.65,0.09,0.24,-10,11.34,628.24,0.01,926.7,,,900
0,0.3,0.49,1000000,95.15,0.91,0.85,1,6.92,0.1,0.24,-10,11.9,635.58,0.02,1044.94,,,1000
0,0.3,0.54,1100000,92.35,0.92,0.87,1,7.17,0.1,0.25,-10,12.44,642.58,0.02,1166.19,,,1100
0,0.3,0.59,1200000,90.03,0.93,0.89,1,7.41,0.11,0.26,-10,12.97,649.1,0.02,1290.35,,,1200
0,0.3,0.64,1300000,88.03,0.94,0.91,1,7.66,0.11,0.26,-10,13.5,655.15,0.02,1418.38,,,1300
0,0.3,0.68,1400000,86.34,0.95,0.92,1,7.9,0.12,0.27,-10,14.02,660.75,0.02,1551.35,,,1400
0,0.3,0.73,1500000,84.95,0.96,0.93,1,8.15,0.13,0.27,-10,14.55,666.17,0.02,1690.78,,,1500
0,0.3,0.78,1600000,83.87,0.97,0.95,1,8.37,0.13,0.28,-10,15.07,672,0.02,1833.67,,,1600
0,0.3,0.83,1700000,82.98,0.97,0.96,1,8.6,0.14,0.28,-10,15.58,677.75,0.02,1980.71,,,1700
0,0.3,0.88,1800000,82.28,0.98,0.98,1,8.82,0.15,0.28,-10,16.09,683.66,0.02,2131.78,,,1800
0,0.3,0.93,1900000,81.81,0.99,0.99,1,9.03,0.16,0.28,-10,16.59,689.89,0.02,2288.46,,,1900
0,0.3,0.98,2000000,81.42,1,1,1,9.23,0.16,0.28,-10,17.09,695.96,0.02,2449.5,,,2000
0,0.3,1.03,2100000,81.11,1,1.01,1,9.44,0.17,0.29,-10,17.6,701.9,0.02,2614.85,,,2100
0,0.4,0.09,200020,198.6,0.79,0.49,1,3.98,0.04,0.12,-10,6.15,537.43,0.01,1.67,,,200.02
0,0.4,0.14,300020,158.8,0.81,0.57,1,4.56,0.05,0.15,-10,7.19,560.99,0.01,94.99,,,300.02
0,0.4,0.19,400000,136.22,0.83,0.64,1,5.05,0.05,0.17,-10,8.08,576.31,0.01,190.1,,,400
0,0.4,0.24,500000,122.62,0.85,0.69,1,5.46,0.06,0.19,-10,8.85,589.85,0.01,288.52,,,500
0,0.4,0.28,600000,113.46,0.86,0.72,1,5.8,0.07,0.2,-10,9.55,601.8,0.01,389.59,,,600
0,0.4,0.33,700000,106.7,0.88,0.76,1,6.12,0.07,0.22,-10,10.19,612.24,0.01,491.87,,,700
0,0.4,0.38,800000,101.46,0.89,0.79,1,6.42,0.08,0.23,-10,10.8,621.43,0.01,597.48,,,800
0,0.4,0.43,900000,97.32,0.9,0.82,1,6.69,0.09,0.24,-10,11.37,629.42,0.01,703.98,,,900
0,0.4,0.47,1000000,93.96,0.91,0.84,1,6.96,0.09,0.25,-10,11.93,636.84,0.02,813.51,,,1000
0,0.4,0.52,1100000,91.17,0.92,0.86,1,7.21,0.1,0.25,-10,12.47,643.66,0.02,925.6,,,1100
0,0.4,0.57,1200000,88.96,0.93,0.88,1,7.45,0.11,0.26,-10,13.01,650.27,0.02,1042.83,,,1200
0,0.4,0.62,1300000,87.07,0.94,0.9,1,7.69,0.11,0.27,-10,13.53,656.53,0.02,1163.04,,,1300
0,0.4,0.66,1400000,85.46,0.95,0.91,1,7.94,0.12,0.27,-10,14.05,662.42,0.02,1288.06,,,1400
0,0.4,0.71,1500000,84.11,0.96,0.92,1,8.18,0.13,0.28,-10,14.58,667.91,0.02,1419.31,,,1500
0,0.4,0.76,1600000,82.95,0.96,0.94,1,8.42,0.13,0.28,-10,15.11,673.13,0.02,1555.4,,,1600
0,0.4,0.81,1700000,82.05,0.97,0.95,1,8.65,0.14,0.28,-10,15.62,678.67,0.02,1695.5,,,1700
0,0.4,0.85,1800000,81.34,0.98,0.96,1,8.88,0.15,0.29,-10,16.14,684.29,0.02,1840.12,,,1800
0,0.4,0.9,1900000,80.77,0.99,0.98,1,9.1,0.15,0.29,-10,16.66,689.83,0.02,1991.13,,,1900
0,0.4,0.95,2000000,80.43,0.99,0.99,1,9.31,0.16,0.29,-10,17.16,695.9,0.02,2146.1,,,2000
0,0.4,1,2100000,80.15,1,1,1,9.52,0.17,0.29,-10,17.66,701.84,0.02,2305.09,,,2100
0,0.4,1.04,2200000,79.94,1.01,1.01,1,9.73,0.18,0.29,-10,18.17,707.65,0.02,2468.71,,,2200
0,0.5,0.18,400010,133.49,0.83,0.61,1,5.09,0.05,0.17,-10,8.11,578.29,0.01,18.53,,,400.01
0,0.5,0.23,500000,120.05,0.84,0.67,1,5.5,0.06,0.19,-10,8.89,591.23,0.01,103.06,,,500
0,0.5,0.27,600000,111.06,0.86,0.7,1,5.86,0.07,0.21,-10,9.59,602.86,0.01,192.34,,,600
0,0.5,0.32,700000,104.57,0.87,0.74,1,6.17,0.07,0.22,-10,10.22,613.25,0.01,284.28,,,700
0,0.5,0.36,800000,99.59,0.88,0.77,1,6.47,0.08,0.23,-10,10.84,622.78,0.01,380.33,,,800
0,0.5,0.41,900000,95.59,0.89,0.8,1,6.74,0.09,0.24,-10,11.41,630.85,0.01,477.77,,,900
0,0.5,0.46,1000000,92.38,0.9,0.82,1,7.01,0.09,0.25,-10,11.97,638.34,0.01,579.13,,,1000
0,0.5,0.5,1100000,89.74,0.91,0.84,1,7.26,0.1,0.26,-10,12.52,645.27,0.02,683.93,,,1100
0,0.5,0.55,1200000,87.56,0.92,0.86,1,7.51,0.11,0.26,-10,13.05,651.74,0.02,792.38,,,1200
0,0.5,0.59,1300000,85.74,0.93,0.88,1,7.75,0.11,0.27,-10,13.57,658,0.02,904.84,,,1300
0,0.5,0.64,1400000,84.24,0.94,0.9,1,7.99,0.12,0.28,-10,14.1,664.09,0.02,1022.25,,,1400
0,0.5,0.68,1500000,82.99,0.95,0.91,1,8.22,0.12,0.28,-10,14.62,669.95,0.02,1145.7,,,1500
0,0.5,0.73,1600000,81.9,0.96,0.93,1,8.47,0.13,0.28,-10,15.15,675.37,0.02,1273.62,,,1600
0,0.5,0.77,1700000,80.97,0.97,0.94,1,8.71,0.14,0.29,-10,15.67,680.49,0.02,1406.49,,,1700
0,0.5,0.82,1800000,80.17,0.98,0.95,1,8.95,0.14,0.29,-10,16.2,685.49,0.02,1545.67,,,1800
0,0.5,0.87,1900000,79.66,0.98,0.96,1,9.17,0.15,0.29,-10,16.72,691,0.02,1688.74,,,1900
0,0.5,0.91,2000000,79.22,0.99,0.98,1,9.4,0.16,0.29,-10,17.24,696.39,0.02,1837.74,,,2000
0,0.5,0.96,2100000,78.89,1,0.99,1,9.62,0.17,0.29,-10,17.75,701.77,0.02,1991.07,,,2100
0,0.5,1,2200000,78.72,1,1,1,9.83,0.17,0.29,-10,18.26,707.58,0.02,2148.47,,,2200
0,0.6,0.3,700000,101.9,0.86,0.71,1,6.24,0.07,0.23,-10,10.27,614.45,0.01,71.96,,,700
0,0.6,0.35,800000,97.22,0.88,0.74,1,6.53,0.08,0.24,-10,10.89,623.97,0.01,158.59,,,800
0,0.6,0.39,900000,93.46,0.89,0.77,1,6.81,0.08,0.25,-10,11.46,632.38,0.01,247.42,,,900
0,0.6,0.44,1000000,90.4,0.9,0.8,1,7.07,0.09,0.26,-10,12.02,640.08,0.01,340.54,,,1000
0,0.6,0.48,1100000,87.92,0.91,0.82,1,7.33,0.1,0.26,-10,12.57,647.08,0.01,436.96,,,1100
0,0.6,0.52,1200000,85.85,0.92,0.84,1,7.57,0.1,0.27,-10,13.1,653.63,0.02,537.96,,,1200
0,0.6,0.57,1300000,84.11,0.92,0.86,1,7.82,0.11,0.28,-10,13.63,659.87,0.02,642.08,,,1300
0,0.6,0.61,1400000,82.68,0.93,0.88,1,8.06,0.12,0.28,-10,14.15,665.83,0.02,752.29,,,1400
0,0.6,0.65,1500000,81.51,0.94,0.89,1,8.29,0.12,0.28,-10,14.68,671.79,0.02,867.82,,,1500
0,0.6,0.7,1600000,80.53,0.95,0.91,1,8.53,0.13,0.29,-10,15.2,677.52,0.02,988.2,,,1600
0,0.6,0.74,1700000,79.7,0.96,0.92,1,8.76,0.14,0.29,-10,15.72,683.05,0.02,1114.25,,,1700
0,0.6,0.78,1800000,78.97,0.97,0.93,1,9,0.14,0.29,-10,16.25,688.18,0.02,1244.47,,,1800
0,0.6,0.83,1900000,78.39,0.98,0.95,1,9.24,0.15,0.3,-10,16.78,693.1,0.02,1381.39,,,1900
0,0.6,0.87,2000000,77.87,0.99,0.96,1,9.49,0.16,0.3,-10,17.32,697.88,0.02,1525.05,,,2000
0,0.6,0.91,2100000,77.57,0.99,0.97,1,9.71,0.16,0.3,-10,17.84,703.12,0.02,1670.06,,,2100
0,0.6,0.96,2200000,77.33,1,0.98,1,9.93,0.17,0.3,-10,18.36,708.3,0.02,1821.49,,,2200
0,0.6,1,2300000,77.16,1,1,1,10.16,0.18,0.3,-10,18.88,713.34,0.02,1978.38,,,2300
304.8,0,0.05,100040,311.83,0.73,0.41,1,3.02,0.03,0.07,-10,4.59,492.88,0.01,328.59,,,100.04
304.8,0,0.1,200020,204.53,0.8,0.53,1,3.81,0.04,0.11,-10,5.97,534.37,0.01,522.16,,,200.02
304.8,0,0.16,300020,161.65,0.82,0.62,1,4.41,0.05,0.14,-10,7.01,556.07,0.01,693.4,,,300.02
304.8,0,0.21,400010,139.02,0.84,0.68,1,4.88,0.06,0.17,-10,7.87,572.36,0.01,851.75,,,400.01
304.8,0,0.26,500000,125.27,0.86,0.73,1,5.26,0.06,0.19,-10,8.62,586.45,0.01,1001.78,,,500
304.8,0,0.31,600000,115.71,0.87,0.78,1,5.61,0.07,0.2,-10,9.31,598.4,0.01,1149.81,,,600
304.8,0,0.36,700000,108.64,0.88,0.81,1,5.92,0.08,0.21,-10,9.93,608.34,0.01,1293.32,,,700
304.8,0,0.42,800000,103.23,0.89,0.83,1,6.21,0.08,0.22,-10,10.54,617.33,0.01,1438.42,,,800
304.8,0,0.47,900000,98.93,0.9,0.86,1,6.48,0.09,0.23,-10,11.1,625.26,0.02,1581.26,,,900
304.8,0,0.52,1000000,95.49,0.92,0.88,1,6.74,0.1,0.24,-10,11.66,632.8,0.02,1726.84,,,1000
304.8,0,0.57,1100000,92.65,0.93,0.9,1,7,0.1,0.25,-10,12.19,639.6,0.02,1874.26,,,1100
304.8,0,0.62,1200000,90.25,0.94,0.91,1,7.25,0.11,0.26,-10,12.72,645.73,0.02,2025.28,,,1200
304.8,0,0.67,1300000,88.23,0.95,0.92,1,7.49,0.11,0.26,-10,13.25,651.57,0.02,2179.87,,,1300
304.8,0,0.73,1400000,86.71,0.96,0.94,1,7.72,0.12,0.27,-10,13.77,657.84,0.02,2339.31,,,1400
304.8,0,0.78,1500000,85.47,0.96,0.96,1,7.95,0.13,0.27,-10,14.28,664.03,0.02,2503.08,,,1500
304.8,0,0.83,1600000,84.54,0.97,0.97,1,8.17,0.14,0.27,-10,14.79,670.66,0.02,2668.61,,,1600
304.8,0,0.88,1700000,83.78,0.98,0.98,1,8.38,0.14,0.28,-10,15.29,677.26,0.02,2837.73,,,1700
304.8,0,0.93,1800000,83.18,0.99,0.99,1,8.59,0.15,0.28,-10,15.79,683.72,0.02,3012.89,,,1800
304.8,0,0.99,1900000,82.72,1,1.01,1,8.8,0.16,0.28,-10,16.29,690.1,0.02,3192.94,,,1900
304.8,0,1.04,2000000,82.34,1.01,1.02,1,9,0.16,0.28,-10,16.79,696.36,0.02,3377.22,,,2000
304.8,0.1,0.05,100040,310.61,0.73,0.41,1,3.03,0.03,0.07,-10,4.6,492.92,0.01,228.05,,,100.04
304.8,0.1,0.1,200020,203.95,0.79,0.53,1,3.82,0.04,0.11,-10,5.97,534.5,0.01,395.33,,,200.02
304.8,0.1,0.15,300020,161.3,0.82,0.61,1,4.41,0.05,0.14,-10,7.01,556.29,0.01,546.76,,,300.02
304.8,0.1,0.21,400010,138.68,0.84,0.68,1,4.88,0.06,0.17,-10,7.87,572.49,0.01,689.58,,,400.01
304.8,0.1,0.26,500000,125,0.86,0.73,1,5.27,0.06,0.19,-10,8.62,586.6,0.01,826.77,,,500
304.8,0.1,0.31,600000,115.47,0.87,0.77,1,5.61,0.07,0.2,-10,9.31,598.55,0.01,963.26,,,600
304.8,0.1,0.36,700000,108.43,0.88,0.8,1,5.92,0.08,0.21,-10,9.94,608.51,0.01,1096.51,,,700
304.8,0.1,0.41,800000,103.04,0.89,0.83,1,6.22,0.08,0.23,-10,10.54,617.5,0.01,1231.84,,,800
304.8,0.1,0.46,900000,98.75,0.9,0.85,1,6.49,0.09,0.23,-10,11.11,625.41,0.02,1365.76,,,900
304.8,0.1,0.52,1000000,95.32,0.92,0.87,1,6.75,0.1,0.24,-10,11.66,632.97,0.02,1502.67,,,1000
304.8,0.1,0.57,1100000,92.5,0.93,0.89,1,7,0.1,0.25,-10,12.2,639.83,0.02,1641.65,,,1100
304.8,0.1,0.62,1200000,90.12,0.94,0.91,1,7.25,0.11,0.26,-10,12.73,645.98,0.02,1784.39,,,1200
304.8,0.1,0.67,1300000,88.1,0.95,0.92,1,7.5,0.11,0.26,-10,13.25,651.78,0.02,1930.96,,,1300
304.8,0.1,0.72,1400000,86.57,0.96,0.94,1,7.73,0.12,0.27,-10,13.77,657.96,0.02,2082.81,,,1400
304.8,0.1,0.77,1500000,85.33,0.96,0.95,1,7.96,0.13,0.27,-10,14.29,664.17,0.02,2238.97,,,1500
304.8,0.1,0.83,1600000,84.38,0.97,0.97,1,8.18,0.14,0.27,-10,14.8,670.65,0.02,2397.82,,,1600
304.8,0.1,0.88,1700000,83.63,0.98,0.98,1,8.39,0.14,0.28,-10,15.29,677.24,0.02,2560.09,,,1700
304.8,0.1,0.93,1800000,83.04,0.99,0.99,1,8.6,0.15,0.28,-10,15.8,683.7,0.02,2728.39,,,1800
304.8,0.1,0.98,1900000,82.57,1,1.01,1,8.81,0.16,0.28,-10,16.3,690.07,0.02,2901.66,,,1900
304.8,0.1,1.03,2000000,82.21,1,1.02,1,9.01,0.16,0.28,-10,16.8,696.33,0.02,3079.22,,,2000
304.8,0.2,0.05,100040,306.91,0.73,0.4,1,3.05,0.03,0.08,-10,4.61,493.06,0.01,127.03,,,100.04
304.8,0.2,0.1,200020,202.18,0.79,0.52,1,3.83,0.04,0.11,-10,5.98,534.88,0.01,268.27,,,200.02
304.8,0.2,0.15,300020,160.22,0.82,0.61,1,4.42,0.05,0.14,-10,7.02,556.93,0.01,400.02,,,300.02
304.8,0.2,0.2,400010,137.67,0.84,0.67,1,4.9,0.06,0.17,-10,7.88,572.88,0.01,527.37,,,400.01
304.8,0.2,0.25,500000,124.15,0.85,0.72,1,5.28,0.06,0.19,-10,8.63,586.96,0.01,651.84,,,500
304.8,0.2,0.31,600000,114.76,0.87,0.76,1,5.63,0.07,0.2,-10,9.32,599,0.01,776.73,,,600
304.8,0.2,0.36,700000,107.79,0.88,0.8,1,5.94,0.08,0.22,-10,9.95,609.01,0.01,899.83,,,700
304.8,0.2,0.41,800000,102.46,0.89,0.83,1,6.23,0.08,0.23,-10,10.55,618.02,0.01,1025.43,,,800
304.8,0.2,0.46,900000,98.21,0.9,0.85,1,6.5,0.09,0.24,-10,11.12,625.9,0.02,1150.49,,,900
304.8,0.2,0.51,1000000,94.82,0.91,0.87,1,6.77,0.09,0.24,-10,11.67,633.46,0.02,1278.89,,,1000
304.8,0.2,0.56,1100000,92.06,0.92,0.89,1,7.02,0.1,0.25,-10,12.21,640.41,0.02,1409.54,,,1100
304.8,0.2,0.61,1200000,89.72,0.94,0.9,1,7.26,0.11,0.26,-10,12.74,646.7,0.02,1543.94,,,1200
304.8,0.2,0.66,1300000,87.73,0.95,0.92,1,7.51,0.11,0.26,-10,13.26,652.53,0.02,1682.38,,,1300
304.8,0.2,0.71,1400000,86.13,0.96,0.93,1,7.75,0.12,0.27,-10,13.79,658.33,0.02,1827.16,,,1400
304.8,0.2,0.76,1500000,84.92,0.96,0.95,1,7.98,0.13,0.27,-10,14.31,664.57,0.02,1975.77,,,1500
304.8,0.2,0.82,1600000,83.9,0.97,0.96,1,8.21,0.13,0.28,-10,14.82,670.61,0.02,2128.59,,,1600
304.8,0.2,0.87,1700000,83.17,0.98,0.98,1,8.42,0.14,0.28,-10,15.32,677.21,0.02,2284.13,,,1700
304.8,0.2,0.92,1800000,82.6,0.99,0.99,1,8.63,0.15,0.28,-10,15.82,683.67,0.02,2445.84,,,1800
304.8,0.2,0.97,1900000,82.15,0.99,1,1,8.84,0.16,0.28,-10,16.33,689.99,0.02,2612.56,,,1900
304.8,0.2,1.02,2000000,81.79,1,1.01,1,9.04,0.16,0.28,-10,16.83,696.24,0.02,2783.56,,,2000
304.8,0.3,0.05,100040,300.65,0.73,0.4,1,3.08,0.03,0.08,-10,4.63,493.27,0.01,24.3,,,100.04
304.8,0.3,0.1,200020,199.17,0.79,0.51,1,3.86,0.04,0.12,-10,6,535.46,0.01,139.97,,,200.02
304.8,0.3,0.15,300020,158.35,0.81,0.59,1,4.44,0.05,0.15,-10,7.03,557.91,0.01,252.45,,,300.02
304.8,0.3,0.2,400010,136.08,0.83,0.66,1,4.92,0.05,0.17,-10,7.9,573.68,0.01,364.1,,,400.01
304.8,0.3,0.25,500000,122.71,0.85,0.71,1,5.31,0.06,0.19,-10,8.65,587.5,0.01,475.96,,,500
304.8,0.3,0.3,600000,113.55,0.87,0.75,1,5.65,0.07,0.2,-10,9.34,599.72,0.01,589.34,,,600
304.8,0.3,0.35,700000,106.7,0.88,0.79,1,5.96,0.07,0.22,-10,9.97,609.81,0.01,702.34,,,700
304.8,0.3,0.4,800000,101.48,0.89,0.82,1,6.26,0.08,0.23,-10,10.57,618.85,0.01,818.26,,,800
304.8,0.3,0.45,900000,97.33,0.9,0.84,1,6.53,0.09,0.24,-10,11.14,626.81,0.01,934.47,,,900
304.8,0.3,0.5,1000000,93.97,0.91,0.86,1,6.79,0.09,0.25,-10,11.69,634.25,0.02,1054.44,,,1000
304.8,0.3,0.55,1100000,91.28,0.92,0.88,1,7.04,0.1,0.25,-10,12.23,641.26,0.02,1176.95,,,1100
304.8,0.3,0.6,1200000,89.03,0.93,0.9,1,7.29,0.11,0.26,-10,12.76,647.83,0.02,1303.14,,,1200
304.8,0.3,0.65,1300000,87.1,0.94,0.91,1,7.53,0.11,0.27,-10,13.28,653.77,0.02,1433.51,,,1300
304.8,0.3,0.7,1400000,85.5,0.95,0.92,1,7.78,0.12,0.27,-10,13.81,659.43,0.02,1570.33,,,1400
304.8,0.3,0.75,1500000,84.23,0.96,0.94,1,8.02,0.13,0.28,-10,14.34,665.21,0.02,1712.23,,,1500
304.8,0.3,0.8,1600000,83.24,0.97,0.95,1,8.24,0.13,0.28,-10,14.85,671.24,0.02,1858.01,,,1600
304.8,0.3,0.85,1700000,82.41,0.98,0.97,1,8.47,0.14,0.28,-10,15.36,677.14,0.02,2007.76,,,1700
304.8,0.3,0.9,1800000,81.87,0.98,0.98,1,8.68,0.15,0.28,-10,15.87,683.62,0.02,2163.15,,,1800
