ID,WingArea,WingAspectRatio,Sweep,TaperRatio,Scale_MTO_new,Scale_MCL_new,Scale_MCR_new,BlockFuel,RampWeight,TakeoffFieldLength,LandingFieldLength,ClimbTime,ApproachSpeed,EndOfRunwayThrust,TopOfTheClimbThrust,MidCruiseThrust,Category
607,1399.542875,11.95791478,28.13548101,0.221257478,1.037971646,0.96791045,1.021744858,35896.5,150468.5,6334.26,5736,22.5,124,17493.1,5172,3306.767755,0
612,1399.465084,11.93168605,29.40757442,0.227962199,1.049793563,1.046520251,1.023968373,35908.6,150470.2,6334.26,5736,19.6,124,17493.2,5531,3311.649077,0
634,1399.534608,11.95826539,28.52491272,0.221731661,1.037990251,0.973010279,1.023082262,35895.6,150467.7,6334.25,5736,22.3,124,17493.1,5199.5,3306.888462,0
541,1399.534608,11.95826539,28.16062858,0.221731661,1.037990251,0.973699003,1.023082262,35895.5,150467.5,6334.23,5736,22.2,124,17493.1,5203,3306.910238,0
569,1399.534608,11.95826539,28.16062858,0.22182045,1.037990251,0.973699003,1.023082262,35895.5,150467.5,6334.23,5736,22.2,124,17493.1,5203,3306.910238,0
502,1399.822893,11.8779207,28.38732202,0.229816498,1.041638502,1.025819543,0.959647095,35931.8,150500.6,6334.2,5736,20.1,124,17484.44348,5463.5,3315.001734,0
468,1399.823442,11.87816883,28.15308955,0.227267661,1.041600664,1.039370272,0.966582447,35931.6,150500.5,6334.18,5736,19.6,124,17484.44348,5536.5,3315.274459,0
594,1399.561985,11.93922676,28.46412022,0.222861233,1.039658499,0.972591411,1.002950659,35901.8,150472.4,6334.17,5736,22.4,124,17493.2,5189,3308.062007,0
618,1399.561985,11.93922676,28.46412022,0.222861233,1.039658499,0.972591411,1.002950659,35901.8,150472.4,6334.17,5736,22.4,124,17493.2,5189,3308.062007,0
632,1399.560942,11.93922676,28.50404269,0.222861233,1.039658499,0.972591411,1.002950659,35901.8,150472.4,6334.17,5736,22.4,124,17493.2,5189,3308.062007,0
596,1399.534608,11.95826539,28.16062858,0.21761381,1.037990251,0.973699003,1.018724028,35894,150466,6334.12,5736,22.2,124,17493.1,5203,3306.888462,0
636,1399.534608,11.95826539,28.16062858,0.21761381,1.037990251,0.973699003,1.018724028,35894,150466,6334.12,5736,22.2,124,17493.1,5203,3306.888462,0
574,1399.560438,11.91832543,28.15950746,0.227733384,1.039894949,1.039370272,0.966582447,35903.5,150473.9,6333.98,5736,19.5,124,17493.59167,5546.5,3312.476752,0
675,1399.325706,11.98407127,28.1576856,0.221497292,1.036901934,0.973460933,1.003772796,35874.9,150447.9,6333.97,5736,22.2,124,17492.9,5207.5,3305.446272,0
635,1399.560438,11.91832543,28.15950746,0.227733384,1.040157702,1.039370272,0.966582447,35903.4,150473.5,6333.95,5736,19.5,124,17493.59167,5545,3312.454963,0
584,1399.822893,11.8779207,28.38732202,0.229816498,1.042084738,1.039668304,0.959647095,35928.5,150496.8,6333.92,5736,19.6,124,17484.49348,5535.5,3315.244476,0
559,1399.574739,11.92029486,27.95609991,0.221375443,1.029666542,1.042692264,0.966232508,35893.6,150473.2,6333.88,5736,18.9,124,17493.35,5624.5,3311.315853,1
640,1399.574739,11.92029486,27.95609991,0.221375443,1.029666542,1.042692264,0.966232508,35893.6,150473.2,6333.88,5736,18.9,124,17493.35,5624.5,3311.315853,1
553,1399.446517,11.97400715,28.03625735,0.221785262,1.036556514,0.977342284,1.005304524,35882.1,150455.5,6333.85,5736,22,124,17493.05,5230,3306.302417,0
617,1399.446517,11.97400715,28.03625735,0.221785262,1.036556514,0.977342284,1.005304524,35882.1,150455.5,6333.85,5736,22,124,17493.05,5230,3306.302417,0
619,1399.534608,11.95826539,28.16062858,0.21761381,1.038706885,0.973699003,1.00947947,35890.2,150461.6,6333.79,5736,22.3,124,17493.15,5199.5,3306.843481,0
621,1399.325706,11.98546425,28.15767983,0.221785262,1.036556514,0.973513409,1.003954236,35868,150441.4,6333.64,5736,22.2,124,17492.9,5209.5,3304.816305,0
653,1399.754022,11.93912912,28.15257007,0.235161203,1.041339473,1.023540724,0.96471046,35907.7,150476.7,6333.63,5736,20.2,124,17493.4,5452.5,3312.269006,0
639,1399.653292,11.99635308,29.89580121,0.240510239,1.038360297,1.028811842,1.021744858,35886.8,150458.5,6333.61,5736,19.8,124,17493.34167,5497,3308.536439,0
641,1399.450838,11.95370573,29.61644079,0.22139577,1.037711673,1.025837512,1.00372178,35883.9,150456.2,6333.6,5736,19.9,124,17493.15,5484,3308.673209,0
674,1399.450838,11.95370573,29.61644079,0.22139577,1.037711673,1.025837512,1.00372178,35883.9,150456.2,6333.6,5736,19.9,124,17493.15,5484,3308.673209,0
685,1399.448983,11.9846204,28.18843461,0.22222291,1.036556514,0.971511604,1.00386622,35875.9,150449.2,6333.53,5736,22.3,124,17493.05,5198.5,3305.43278,0
696,1399.745391,11.93912912,28.15257007,0.22791028,1.041339473,1.037026826,1.011006034,35905.7,150474.8,6333.48,5736,19.6,124,17493.69167,5525.5,3311.085708,0
560,1399.747263,11.94676899,28.13813701,0.227377728,1.041339473,1.03882847,1.025837272,35903.4,150472.4,6333.45,5736,19.5,124,17493.4,5535.5,3310.446694,0
587,1399.457183,11.93922676,28.12582196,0.222861233,1.039668515,0.979971905,0.966255717,35886.1,150456.6,6333.44,5736,22,124,17493.25,5228.5,3308.159464,0
