Altitude,Mach,CL,CD Total,LOD
0,0.825,1.439390485,0.119178589,12.07759294
10000,0.2,0,0.024625674,0
10000,0.2,0.101569024,0.02392892,4.244613798
10000,0.2,0.203138048,0.024157669,8.408843088
10000,0.2,0.304707071,0.025335847,12.02671736
10000,0.2,0.406276095,0.02749775,14.77488504
10000,0.2,0.507845119,0.030684505,16.55053973
10000,0.2,0.609414143,0.03495925,17.43212864
10000,0.2,0.710983166,0.040388535,17.60358889
10000,0.2,0.81255219,0.047037663,17.27450171
10000,0.2,0.914121214,0.054970423,16.62932836
10000,0.2,1.218828285,0.087080046,13.99664264
10000,0.2,1.439390485,0.118757199,12.12044825
10000,0.3,0,0.023349797,0
10000,0.3,0.101569024,0.022654145,4.483463137
10000,0.3,0.203138048,0.022879393,8.878646737
10000,0.3,0.304707071,0.024047626,12.67098345
10000,0.3,0.406276095,0.026191321,15.51185963
10000,0.3,0.507845119,0.029348153,17.30415945
10000,0.3,0.609414143,0.033576889,18.14980962
10000,0.3,0.710983166,0.038940625,18.25813443
10000,0.3,0.81255219,0.045501329,17.85776829
10000,0.3,0.914121214,0.053319592,17.14418996
10000,0.3,1.218828285,0.084899872,14.3560674
10000,0.3,1.439390485,0.115990191,12.40958802
10000,0.4,0,0.023013326,0
10000,0.4,0.101569024,0.022319362,4.550713591
10000,0.4,0.203138048,0.0225399,9.012375743
10000,0.4,0.304707071,0.023694487,12.85982984
10000,0.4,0.406276095,0.025813107,15.73913962
10000,0.4,0.507845119,0.028929046,17.55485193
10000,0.4,0.609414143,0.033094835,18.4141768
10000,0.4,0.710983166,0.038368803,18.53024099
10000,0.4,0.81255219,0.044808306,18.1339636
10000,0.4,0.914121214,0.052469505,17.42195231
10000,0.4,1.218828285,0.083322476,14.62784525
10000,0.4,1.439390485,0.113604924,12.6701417
10000,0.5,0,0.022236605,0
10000,0.5,0.101569024,0.021545097,4.714252342
10000,0.5,0.203138048,0.021759945,9.335411831
10000,0.5,0.304707071,0.022897512,13.30743144
10000,0.5,0.406276095,0.024984652,16.26102677
10000,0.5,0.507845119,0.028049762,18.10514895
10000,0.5,0.609414143,0.032137257,18.96285495
10000,0.5,0.710983166,0.037299402,19.06151648
10000,0.5,0.81255219,0.043587732,18.64176347
10000,0.5,0.914121214,0.051052799,17.90540836
